cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm,check
30402,//oneroommaking.com/web/product/big/202008/4a84424f8bc9dff7c6ad92ec3ef369d2.jpg,https://oneroommaking.com/product/detail.html?product_no=2518&cate_no=138&display_group=1,코너 선반 행거,2518,13,4.5,"35,900",원룸만들기,행거,성공
30402,//oneroommaking.com/web/product/big/20200114/9bdee5adc515d0d21276b72bb3f461c3.jpg,https://oneroommaking.com/product/detail.html?product_no=1898&cate_no=123&display_group=1,이동식 옷걸이 행거,1898,112,4.0,"9,900",원룸만들기,행거,성공
30402,//oneroommaking.com/web/product/big/202105/ea99881e2406be1c3b58b98cfaf2e041.jpg,https://oneroommaking.com/product/detail.html?product_no=3214&cate_no=139&display_group=1,철제 선반 행거 10종,3214,4,4.5,"13,800",원룸만들기,행거,성공
30402,//oneroommaking.com/web/product/big/202105/a689221624b78cb4ba98d3e5bb6d615a.jpg,https://oneroommaking.com/product/detail.html?product_no=3157&cate_no=139&display_group=1,이동식 바지걸이 행거,3157,179,4.9,"24,900",원룸만들기,행거,성공
401,//oneroommaking.com/web/product/big/20191229/8172997dc66b79df5f2d19a49fdab5ab.jpg,https://oneroommaking.com/product/detail.html?product_no=1858&cate_no=90&display_group=1,테트리스 수납 책상,1858,11,4.0,"89,900",원룸만들기,책상,성공
401,//oneroommaking.com/web/product/big/201808/9c124652e5b8752308b11cdbbfc65e8b.jpg,https://oneroommaking.com/product/detail.html?product_no=594&cate_no=90&display_group=1,컴퓨터 책상 모음,594,365,4.6,"60,000",원룸만들기,책상,성공
401,//oneroommaking.com/web/product/big/201901/0f01af13018ac32b21cfdc2b312b722f.jpg,https://oneroommaking.com/product/detail.html?product_no=1014&cate_no=90&display_group=1,플루어 각도조절 책상,1014,10,4.6,"53,600",원룸만들기,책상,성공
401,//oneroommaking.com/web/product/big/201901/8afe5b847693ea85270e49086afe54c7.jpg,https://oneroommaking.com/product/detail.html?product_no=949&cate_no=90&display_group=1,위드 책장형 책상,949,13,4.0,"99,900",원룸만들기,책상,성공
401,//oneroommaking.com/web/product/big/202010/8ea54ff2ea3dd3c2bc8764a22c461db5.jpg,https://oneroommaking.com/product/detail.html?product_no=2628&cate_no=90&display_group=1,와이드 독서실 책상,2628,29,4.6,"89,900",원룸만들기,책상,성공
401,//oneroommaking.com/web/product/big/20200422/4641ba5809339e7f10b4e27cd96d4d2f.jpg,https://oneroommaking.com/product/detail.html?product_no=2174&cate_no=90&display_group=1,디노 수납 책상,2174,9,3.8,"39,900",원룸만들기,책상,성공
401,//oneroommaking.com/web/product/big/20200318/685ce50863c1c4bd7c755a54f8adc02a.jpg,https://oneroommaking.com/product/detail.html?product_no=2080&cate_no=90&display_group=1,책장형 책상,2080,55,4.5,"89,900",원룸만들기,책상,성공
401,//oneroommaking.com/web/product/big/20200115/21f77ab1df949ac5fc5d141cbcbf8322.jpg,https://oneroommaking.com/product/detail.html?product_no=1902&cate_no=90&display_group=1,접이식 간이 책상,1902,14,4.6,"32,900",원룸만들기,책상,성공
401,//oneroommaking.com/web/product/big/201901/58d21a4a26d5dac9e5e5992dc4b56fff.jpg,https://oneroommaking.com/product/detail.html?product_no=1004&cate_no=90&display_group=1,몬트 코너 책상,1004,15,4.7,"66,300",원룸만들기,책상,성공
40201,//oneroommaking.com/web/product/big/20200417/a4c06feb1801ed37c7f87d27660a6136.jpg,https://oneroommaking.com/product/detail.html?product_no=2162&cate_no=90&display_group=1,좌식/입식 카페 의자,2162,19,4.5,"21,900",원룸만들기,책상의자,성공
40201,//oneroommaking.com/web/product/big/202104/88450ac4c3ec0e067327b1f7b3d67eaa.jpg,https://oneroommaking.com/product/detail.html?product_no=3091&cate_no=90&display_group=1,메쉬 컴퓨터 의자,3091,33,4.5,"33,000",원룸만들기,책상의자,성공
40201,//oneroommaking.com/web/product/big/201810/ab54366a303a88b7ef2705a0a69f7ff5.jpg,https://oneroommaking.com/product/detail.html?product_no=766&cate_no=90&display_group=1,그랜드 타이탄 로얄체어,766,32,4.5,"102,900",원룸만들기,책상의자,성공
40201,//oneroommaking.com/web/product/big/202105/e6d3d4216ec743122ec8b8b9721714d5.jpg,https://oneroommaking.com/product/detail.html?product_no=3206&cate_no=90&display_group=1,두꺼운 폴딩형 좌식 의자,3206,3,5.0,"37,900",원룸만들기,책상의자,성공
40201,//oneroommaking.com/web/product/big/20200123/cd4531eba11005fd86d498816c0436c9.jpg,https://oneroommaking.com/product/detail.html?product_no=1931&cate_no=90&display_group=1,이동식 책상 의자,1931,14,5.0,"73,000",원룸만들기,책상의자,성공
40201,//oneroommaking.com/web/product/big/201811/6622c6c3054c0d935a6217ffca4add80.jpg,https://oneroommaking.com/product/detail.html?product_no=804&cate_no=90&display_group=1,리오넬 회전형 메쉬 체어,804,42,4.0,"26,900",원룸만들기,책상의자,성공
40201,//oneroommaking.com/web/product/big/202007/a397526e4ad4ed0158e49157a65f29b0.jpg,https://oneroommaking.com/product/detail.html?product_no=2387&cate_no=90&display_group=1,접이식 좌식의자,2387,58,4.9,"30,900",원룸만들기,책상의자,성공
40202,//oneroommaking.com/web/product/big/20200528/aca0ebe23346d4e203a8e88449a4cba7.jpg,https://oneroommaking.com/product/detail.html?product_no=2266&cate_no=90&display_group=1,버니 디자인 체어,2266,74,4.8,"31,000",원룸만들기,인테리어의자,성공
40202,//oneroommaking.com/web/product/big/202012/d42facc1c103f602bb5324c98cd49096.jpg,https://oneroommaking.com/product/detail.html?product_no=2803&cate_no=90&display_group=1,디자인 체어 모음 1+1,2803,3,4.7,"39,900",원룸만들기,인테리어의자,성공
40202,//oneroommaking.com/web/product/big/202102/34feb9943159f264771e359d415ba588.jpg,https://oneroommaking.com/product/detail.html?product_no=2942&cate_no=90&display_group=1,접이식 고스트 체어 모음,2942,11,4.9,"49,900",원룸만들기,인테리어의자,성공
40202,//oneroommaking.com/web/product/big/20200612/ece72ce39e5bcbaa8f79540738578bd8.jpg,https://oneroommaking.com/product/detail.html?product_no=2311&cate_no=90&display_group=1,파스텔 인테리어 체어,2311,28,4.8,"28,900",원룸만들기,인테리어의자,성공
40202,//oneroommaking.com/web/product/big/202009/85509f853471b7134f1d7045ee754269.jpg,https://oneroommaking.com/product/detail.html?product_no=2605&cate_no=90&display_group=1,코듀로이 접이식 의자,2605,2,5.0,"59,900",원룸만들기,인테리어의자,성공
40202,//oneroommaking.com/web/product/big/20200603/90120202be0ccc490f7bfe34bfc757b3.jpg,https://oneroommaking.com/product/detail.html?product_no=2279&cate_no=171&display_group=1,블랙 캠핑 의자&테이블,2279,30,4.7,"22,900",원룸만들기,인테리어의자,성공
40202,//oneroommaking.com/web/product/big/202009/7c65301c41357bed50c5ee74e2e82f2a.jpg,https://oneroommaking.com/product/detail.html?product_no=2563&cate_no=90&display_group=1,접이식 투명 의자,2563,12,5.0,"69,900",원룸만들기,인테리어의자,성공
403,//oneroommaking.com/web/product/big/20200117/7be013b48c5a5a953fac9d8c262376ef.jpg,https://oneroommaking.com/product/detail.html?product_no=1911&cate_no=138&display_group=1,철제 선반 책장,1911,52,4.4,"29,900",원룸만들기,책장,성공
403,//oneroommaking.com/web/product/big/201908/ad31d6bc8ecd362012dad3869b6bc9e9.jpg,https://oneroommaking.com/product/detail.html?product_no=1553&cate_no=130&display_group=1,페이지 확장형 책장,1553,16,4.9,"73,000",원룸만들기,책장,성공
403,//oneroommaking.com/web/product/big/201908/7ed8171a25afbd55dee4185835cde0b8.jpg,https://oneroommaking.com/product/detail.html?product_no=1569&cate_no=130&display_group=1,댄디 책장,1569,12,5.0,"46,000",원룸만들기,책장,성공
8101,//oneroommaking.com/web/product/big/202103/cac259938ace05af3441f7c6fd77373e.jpg,https://oneroommaking.com/product/detail.html?product_no=3049&cate_no=128&display_group=1,화이트 반원 테이블,3049,2,5.0,"129,000",원룸만들기,카페감성테이블,성공
403,//oneroommaking.com/web/product/big/20200129/76691f586e0736acfbc060bc0d68a0d8.jpg,https://oneroommaking.com/product/detail.html?product_no=1941&cate_no=138&display_group=1,철재 책꽂이 2종,1941,14,4.9,"24,900",원룸만들기,책장,성공
8101,//oneroommaking.com/web/product/big/202105/d58e9154f5f5ff9ba6373b9c2fa4b7ed.jpg,https://oneroommaking.com/product/detail.html?product_no=3219&cate_no=128&display_group=1,강화유리 모듈 테이블,3219,2,5.0,"99,000",원룸만들기,카페감성테이블,성공
8101,//oneroommaking.com/web/product/big/202102/e003370766ba1859ef18f196a9e70dad.jpg,https://oneroommaking.com/product/detail.html?product_no=2973&cate_no=128&display_group=1,드마 홈바 테이블,2973,1,5.0,"87,900",원룸만들기,카페감성테이블,성공
403,//oneroommaking.com/web/product/big/20200123/915f3c307dcc85c543af668bb94f3ff2.jpg,https://oneroommaking.com/product/detail.html?product_no=1929&cate_no=90&display_group=1,수납 테이블&틈새 선반,1929,10,5.0,"33,900",원룸만들기,책장,성공
8101,//oneroommaking.com/web/product/big/202103/3b2936b203b6e6118a4b05e0b84a01e7.jpg,https://oneroommaking.com/product/detail.html?product_no=3020&cate_no=90&display_group=1,원형 식탁 세트,3020,11,5.0,"109,700",원룸만들기,카페감성테이블,성공
8101,//oneroommaking.com/web/product/big/202010/4bf1fc74f3949c3fa3e0f327a6726066.jpg,https://oneroommaking.com/product/detail.html?product_no=2683&cate_no=123&display_group=1,접이식 원목 롤 테이블,2683,10,4.6,"53,100",원룸만들기,카페감성테이블,성공
8102,//oneroommaking.com/web/product/big/201905/1168e5024fd10b7c826aaabc567dc1a1.jpg,https://oneroommaking.com/product/detail.html?product_no=1223&cate_no=171&display_group=1,디즈니 캐릭터 컵,1223,99,4.7,"6,900",원룸만들기,갬성돋는컵/잔,성공
8102,//oneroommaking.com/web/product/big/20200609/70a7b2497a650ccc6f54a0ef936b9171.jpg,https://oneroommaking.com/product/detail.html?product_no=2224&cate_no=171&display_group=1,도나티 유리컵 세트 모음,2224,61,4.7,"4,900",원룸만들기,갬성돋는컵/잔,성공
8102,//oneroommaking.com/web/product/big/202009/f92e413950dd409107e0a9ed8b0fb015.jpg,https://oneroommaking.com/product/detail.html?product_no=2546&cate_no=171&display_group=1,서울우유 레트로 컵 2탄,2546,26,5.0,"7,900",원룸만들기,갬성돋는컵/잔,성공
8102,//oneroommaking.com/web/product/big/202008/ceb874e20d84cfc720a54a736dc352bb.jpg,https://oneroommaking.com/product/detail.html?product_no=2487&cate_no=123&display_group=1,홈카페 유리컵 모음,2487,57,4.9,"4,900",원룸만들기,갬성돋는컵/잔,성공
8102,//oneroommaking.com/web/product/big/201909/7554b537751977e16d835b4a64742468.jpg,https://oneroommaking.com/product/detail.html?product_no=470&cate_no=307&display_group=1,유리컵 2P 모음,470,126,4.9,"6,900",원룸만들기,갬성돋는컵/잔,성공
8102,//oneroommaking.com/web/product/big/202007/067dc6f345264d60a37beccfc4ec27cf.jpg,https://oneroommaking.com/product/detail.html?product_no=2378&cate_no=307&display_group=1,서울우유 레트로 유리컵,2378,570,4.7,"11,000",원룸만들기,갬성돋는컵/잔,성공
8103,//oneroommaking.com/web/product/big/202011/7a341b67a03de3c51849bdd8e9603785.jpg,https://oneroommaking.com/product/detail.html?product_no=2748&cate_no=147&display_group=1,동물농장 시리얼볼,2748,30,4.9,"6,900",원룸만들기,포인트그릇/식기,성공
8102,//oneroommaking.com/web/product/big/202011/fa4f874dc2e9ce3f6ccd115c2e2f6175.jpg,https://oneroommaking.com/product/detail.html?product_no=2709&cate_no=171&display_group=1,홈카페 머그컵 모음,2709,33,4.8,"6,500",원룸만들기,갬성돋는컵/잔,성공
8103,//oneroommaking.com/web/product/big/201901/3aa1749aa851d47f58dc8f8bee339df2.jpg,https://oneroommaking.com/product/detail.html?product_no=1012&cate_no=171&display_group=1,커트러리 시리즈,1012,16,4.8,"1,800",원룸만들기,포인트그릇/식기,성공
8103,//oneroommaking.com/web/product/big/202007/113ff5598b294eeae983073e84bea6aa.jpg,https://oneroommaking.com/product/detail.html?product_no=2375&cate_no=171&display_group=1,각인 나무 도마 모음,2375,16,4.9,"31,900",원룸만들기,포인트그릇/식기,성공
8103,//oneroommaking.com/web/product/big/202103/c9089be45a6d67cee74ff3e4375de4ed.jpg,https://oneroommaking.com/product/detail.html?product_no=3057&cate_no=147&display_group=1,스칸디 베어 볼,3057,15,5.0,"11,500",원룸만들기,포인트그릇/식기,성공
8103,//oneroommaking.com/web/product/big/202007/f1e24d78d69e14f830fad4cca8ec9113.jpg,https://oneroommaking.com/product/detail.html?product_no=2391&cate_no=147&display_group=1,홈카페 접시 모음,2391,69,4.9,"3,900",원룸만들기,포인트그릇/식기,성공
8103,//oneroommaking.com/web/product/big/202010/cd78d96f9078258d1534118b5710b828.jpg,https://oneroommaking.com/product/detail.html?product_no=2615&cate_no=171&display_group=1,홈카페 악세사리 모음,2615,19,5.0,"2,200",원룸만들기,포인트그릇/식기,성공
8104,//oneroommaking.com/web/product/big/202012/8642194fff1c095883423894656048c6.jpg,https://oneroommaking.com/product/detail.html?product_no=2781&cate_no=128&display_group=1,베이직 식탁보 모음,2781,4,5.0,"4,800",원룸만들기,식탁보/테이블매트,성공
8104,//oneroommaking.com/web/product/big/202103/1a1103de0246dad01c6186fbd5321bee.jpg,https://oneroommaking.com/product/detail.html?product_no=2991&cate_no=128&display_group=1,바자르 식탁보 8종,2991,3,5.0,"12,900",원룸만들기,식탁보/테이블매트,성공
