cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm
8205,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/03/07/3434590596/f38972ee-d36a-497a-8a77-0974d9fd2ded.jpg,https://www.coupang.com/vp/products/51562064?itemId=182441523&vendorItemId=3434590596&q=%EC%84%B1%EC%9D%B8+%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84&itemsCount=36&searchId=398ecbcecb024b67b874a151a816592a&rank=9&isAddedCart=,코리아보드게임즈 이스케이프 룸 방 탈출 게임,51562064,386,0,"33,850",쿠팡,집콕놀거리
8205,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/69273822967156-300281e1-9500-4c5d-b571-f8346a336abe.jpg,https://www.coupang.com/vp/products/73741698?itemId=245175856&vendorItemId=3603012495&q=diy&itemsCount=36&searchId=538c27500c55483eb8e2b64e7dbdf6c6&rank=3&isAddedCart=,아디코 DIY 미니어처 하우스 키트 놀이동산,73741698,619,0,"12,900",쿠팡,집콕놀거리
8205,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/05/22/11/1/7c26bcbf-8642-4e3a-b1e8-5dd673211ee2.jpg,https://www.coupang.com/vp/products/226036478?itemId=716084611&vendorItemId=4813118750&q=diy&itemsCount=36&searchId=538c27500c55483eb8e2b64e7dbdf6c6&rank=34&isAddedCart=,아이엠미니 DIY 미니어처하우스 냥이하우스 + 도구 + 케이스,226036478,216,0,"11,690",쿠팡,집콕놀거리
8205,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3722/af65a8479e2b56dddf325081a084feb4af2044c0c08aefa3c32b2f533ed9.jpg,https://www.coupang.com/vp/products/1700478757?itemId=2894244165&vendorItemId=70883246638&q=%EA%B2%8C%EC%9E%84%EA%B8%B0&itemsCount=36&searchId=14deadaa40d644f0adb834e64e6925fb&rank=3&isAddedCart=,노리박스 (고급팩) TV연결 분리기통 오락실게임기 레트로게임기,1700478757,31,0,"315,000",쿠팡,집콕놀거리
8205,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/429793404615871-979c4dbb-f86e-42bf-85dd-534a21713fc0.jpg,https://www.coupang.com/vp/products/229560551?itemId=727942681&vendorItemId=73373619707&isAddedCart=,데이비드토이 쌍문동 무선 더블더블 오락실 게임기 랜덤 발송,229560551,217,0,"69,800",쿠팡,집콕놀거리
8205,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/09/07/15/5/0ad0b0db-6f65-4deb-b208-1e12173d39f3.jpg,https://www.coupang.com/vp/products/132211487?itemId=388958260&vendorItemId=3945982115&pickType=COU_PICK&q=%EA%B2%8C%EC%9E%84%EA%B8%B0&itemsCount=36&searchId=14deadaa40d644f0adb834e64e6925fb&rank=1&isAddedCart=,SNK 네오지오 미니 게임기,132211487,70,0,"79,800",쿠팡,집콕놀거리
8205,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/08/01/11/6/a9fd77bb-5c51-4fff-ab0a-b17f5da81553.jpg,https://www.coupang.com/vp/products/272270135?itemId=857121289&vendorItemId=72782523242&q=%EB%8B%8C%ED%85%90%EB%8F%84%EC%8A%A4%EC%9C%84%EC%B9%98&itemsCount=36&searchId=a4d9e87e5c49417db35beac1667e8d63&rank=2&isAddedCart=,닌텐도 스위치 본체네온신형,272270135,"2,945",0,"359,980",쿠팡,집콕놀거리
8205,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9999/0dd67dffd40c129df295bfe42a5844a08cf68fa97225c9cc4187a8c0d6da.jpg,https://www.coupang.com/vp/products/2147567417?itemId=3646651740&vendorItemId=73092278276&isAddedCart=,미니 레트로 게임기 가정용 오락실 고전 휴대용 추억의 옛날 고전 게임 어린이 오락기 테트리스 아케이드,2147567417,11,0,"11,500",쿠팡,집콕놀거리
8301,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/27/17/1/3777f3dd-3300-4b84-964d-e1844352ab02.jpg,https://www.coupang.com/vp/products/2040040605?itemId=3468399478&vendorItemId=72043559414&q=%ED%8C%8C%ED%8B%B0%EC%9E%A5%EC%8B%9D&itemsCount=36&searchId=836a193c11da4861834cbd5961d1b5aa&rank=2&isAddedCart=,피앤비유니티 유니콘 로얄 생일 장식 풍선 세트,2040040605,626,0,"12,240",쿠팡,파티용필수장식
8301,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/05/07/1/0/9c82a206-ad2c-4631-91e0-a373cb4c7217.jpg,https://www.coupang.com/vp/products/218270700?itemId=675662382&vendorItemId=5157481874&q=%ED%8C%8C%ED%8B%B0%EC%9E%A5%EC%8B%9D&itemsCount=36&searchId=836a193c11da4861834cbd5961d1b5aa&rank=3&isAddedCart=,파티팡 천장풍선세트 풍선 랜덤 발송 20p + 은박풍선 3p + 양면테이프 + 컬링리본,218270700,628,0,"9,800",쿠팡,파티용필수장식
