cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm,has_stock
10201,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1554432441250_K6wX5dopzz.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/111255/selling?affect_type=ProductCategoryIndex&affect_id=,Q4 유로탑 롤팩 매트리스 2size,111255,"8,061",4.8,"249,900",오늘의집,매트리스,True
10201,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160992512552554310.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/357116/selling?affect_type=ProductCategoryIndex&affect_id=,그린티 플러스 메모리폼 매트리스 (25cm),357116,"1,413",4.7,"186,150",오늘의집,매트리스,True
10201,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159593015355782285.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/425266/selling?affect_type=ProductCategoryIndex&affect_id=, THE BIO HOTEL 호텔식 독립 포켓스프링 필로우탑 매트리스(25cm),425266,"1,815",4.8,"108,000",오늘의집,매트리스,True
10201,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161164376526235766.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/328684/selling?affect_type=ProductCategoryIndex&affect_id=,60T 고밀도 필로우탑 하이브리드 침대 매트리스 (S/SS/Q/K),328684,"4,642",4.6,"159,900",오늘의집,매트리스,True
10201,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/156229235940310958.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/145632/selling?affect_type=ProductCategoryIndex&affect_id=,노뜨컴포트 포켓스프링 매트리스 SS/Q,145632,346,4.8,"149,000",오늘의집,매트리스,True
10104,https://image.ohou.se/i/bucketplace-v2-development/uploads/deals/161059184747944097.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/652919/selling?affect_type=StoreSearchResult&affect_id=8,원목 침대깔판 저상형 프레임(삼나무/편백),652919,"1,227",4.7,,오늘의집,깔판,True
10201,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162070884191417689.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/329445/selling?affect_type=ProductCategoryIndex&affect_id=,[쿠폰할인] 푹신한 제주 포켓스프링 롤팩 침대매트리스 3colors(S/SS/Q/K),329445,"1,822",4.7,"92,900",오늘의집,매트리스,True
10202,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160505609045208853.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/75006/selling?affect_type=ProductCategoryIndex&affect_id=,둥실둥실 무소음 9존 매트리스토퍼 3colors,75006,"1,669",4.6,"29,900",오늘의집,토퍼,True
10202,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160375875541696132.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/75389/selling?affect_type=ProductCategoryIndex&affect_id=,9존 인생 매트리스토퍼 2colors(MS/S/Q),75389,"8,854",4.7,"29,900",오늘의집,토퍼,True
10202,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161233342772257763.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/299367/selling?affect_type=ProductCategoryIndex&affect_id=,7존 마약매트리스 12cm 바닥 토퍼 (MS/SS/Q),299367,"1,573",4.6,"69,900",오늘의집,토퍼,True
