,Unnamed: 0,Unnamed: 0.1,cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,cate_nm,seller_id,has_stock
247,247,247,8401,http://gdimg.gmarket.co.kr/338959471/still/600?ver=1612199302,http://item.gmarket.co.kr/Item?goodscode=338959471,레이싱 PC 컴퓨터 게이밍 의자 ,338959471,430,0,"79,280",게이밍의자/발받침,12,1
248,248,248,8401,http://gdimg.gmarket.co.kr/1562865316/still/600?ver=1553339351,http://item.gmarket.co.kr/Item?goodscode=1562865316,풋쿠풋쿠 와이드형 학습용 책상 발받침대 사무실 발판 ,1562865316,137,0,"16,570",게이밍의자/발받침,12,1
249,249,249,8401,http://gdimg.gmarket.co.kr/661272626/still/600?ver=1522666946,http://item.gmarket.co.kr/Item?goodscode=661272626,35도 의자 발받침대 사무실 독서실 책상 기타 변기 ,661272626,87,0,"21,680",게이밍의자/발받침,12,1
250,250,250,8402,http://gdimg.gmarket.co.kr/2094102144/still/600?ver=1623638832,http://item.gmarket.co.kr/Item?goodscode=2094102144,ROZI 게이밍 데스크 ,2094102144,28,0,"136,220",게이밍책상,12,1
251,251,251,8402,http://gdimg.gmarket.co.kr/156686513/still/600?ver=1514190408,http://item.gmarket.co.kr/Item?goodscode=156686513,1인용2인용컴퓨터테이블 서재철제초등조립식공부 학생 ,156686513,257,0,"99,000",게이밍책상,12,1
252,252,252,8402,http://gdimg.gmarket.co.kr/855318323/still/600?ver=1507730595,http://item.gmarket.co.kr/Item?goodscode=855318323,1인용 2인용철제 초등 조립식 선반 게이밍 공부 학생 ,855318323,139,0,"119,000",게이밍책상,12,1
253,253,253,8402,http://gdimg.gmarket.co.kr/1559015756/still/600?ver=1591415531,http://item.gmarket.co.kr/Item?goodscode=1559015756,F3선반입식 DIY 책상 1인용 2인용 학생 게이밍 컴퓨터 ,1559015756,76,0,"147,500",게이밍책상,12,1
254,254,254,8402,http://gdimg.gmarket.co.kr/2090282248/still/600?ver=1618462503,http://item.gmarket.co.kr/Item?goodscode=2090282248,소소일상 A형 게이밍 조명 데스크 컴퓨터 게임 책상 ,2090282248,2,0,"74,900",게이밍책상,12,1
255,255,255,8402,http://gdimg.gmarket.co.kr/2029958338/still/600?ver=1622705084,http://item.gmarket.co.kr/Item?goodscode=2029958338,컴퓨터 책상 카멜 GD1L 게이밍책상 LED조명 ,2029958338,0,0,"199,000",게이밍책상,12,1
256,256,256,8403,http://gdimg.gmarket.co.kr/1703892008/still/600?ver=1573620010,http://item.gmarket.co.kr/Item?goodscode=1703892008,HACKER HR500 RGB 마우스 번지 헤드셋 거치대 ,1703892008,117,0,"24,000",게이밍책상꾸미기,12,1
257,257,257,8403,http://gdimg.gmarket.co.kr/1527037110/still/600?ver=1543295486,http://item.gmarket.co.kr/Item?goodscode=1527037110,CYK 헤드셋 헤드폰거치대 T-stand 헤드폰스탠드 ,1527037110,25,0,"16,900",게이밍책상꾸미기,12,1
258,258,258,8403,http://gdimg.gmarket.co.kr/1428436319/still/600?ver=1528336713,http://item.gmarket.co.kr/Item?goodscode=1428436319,오랜웰 GH65 게이밍 헤드셋 헤드폰 거치대 헤드셋걸이 ,1428436319,84,0,"7,900",게이밍책상꾸미기,12,1
259,259,259,8403,http://gdimg.gmarket.co.kr/1850688571/still/600?ver=1621297360,http://item.gmarket.co.kr/Item?goodscode=1850688571,높이조절 모니터 받침대 모니터받침 모니터거치대 ,1850688571,306,0,"15,900",게이밍책상꾸미기,12,1
260,260,260,8403,http://gdimg.gmarket.co.kr/1483000464/still/600?ver=1613647390,http://item.gmarket.co.kr/Item?goodscode=1483000464,원목 삼나무 모니터받침대 1단 ,1483000464,313,0,"9,400",게이밍책상꾸미기,12,1
261,261,261,8403,http://gdimg.gmarket.co.kr/1737654380/still/600?ver=1620879710,http://item.gmarket.co.kr/Item?goodscode=1737654380,OMT 고속무선충전 게이밍 장패드 마우스패드OMP-WCPAD ,1737654380,36,0,"17,500",게이밍책상꾸미기,12,1
262,262,262,8403,http://gdimg.gmarket.co.kr/1617704567/still/600?ver=1560907774,http://item.gmarket.co.kr/Item?goodscode=1617704567,OMT RGB LED 게이밍 방수 장패드 OMP-LED 대형 78cm ,1617704567,446,0,"15,560",게이밍책상꾸미기,12,1
263,263,263,8404,http://gdimg.gmarket.co.kr/1629220789/still/600?ver=1577322130,http://item.gmarket.co.kr/Item?goodscode=1629220789,크리스탈 오르골 달 무드등 취침등 수유등 ,1629220789,32,0,"27,340",PC방감성조명,12,1
264,264,264,8404,http://gdimg.gmarket.co.kr/290677197/still/600?ver=1614662095,http://item.gmarket.co.kr/Item?goodscode=290677197,T5 형광등 28w 램프 간접등 간접조명 슬림 일자등 ,290677197,47,0,"3,140",PC방감성조명,12,1
265,265,265,8404,http://gdimg.gmarket.co.kr/923510085/still/600?ver=1530867015,http://item.gmarket.co.kr/Item?goodscode=923510085,필립스 HUE 휴 스트립 플러스 2m 스마트조명 간접 ,923510085,2,0,"91,270",PC방감성조명,12,1
266,266,266,8404,http://gdimg.gmarket.co.kr/1990706168/still/600?ver=1609039377,http://item.gmarket.co.kr/Item?goodscode=1990706168,휴 플레이 라이트바 더블팩 (기본팩) IOT LED 바 조명 ,1990706168,44,0,"179,000",PC방감성조명,12,1
267,267,267,8404,http://gdimg.gmarket.co.kr/1725513171/still/600?ver=1624432665,http://item.gmarket.co.kr/Item?goodscode=1725513171,OMT 밝기조절 LED 취침등 무드등 스탠드 조명 OL-K02 ,1725513171,341,0,"19,500",PC방감성조명,12,1
268,268,268,8404,http://gdimg.gmarket.co.kr/1721788641/still/600?ver=1607060326,http://item.gmarket.co.kr/Item?goodscode=1721788641,LED스탠드 책상스탠드 학습용 조명 와이드 800S 블랙 ,1721788641,240,0,"55,570",PC방감성조명,12,1
