,Unnamed: 0,Unnamed: 0.1,cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,cate_nm,check,seller_id,has_stock
33,33,33,30402,//item.ssgcdn.com/00/33/66/item/1000031663300_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000031663300&siteNo=6004&salestrNo=6005&tlidSrchWd=%ED%96%89%EA%B1%B0&srchPgNo=1&src_area=ssglist,[전문기사 설치서비스]동서가구 쏘노 멀바우 오픈600 철제 1단행거 DF911333,1000031663300,4,4.5,"78,111",행거,성공,15,1
34,34,34,30402,//item.ssgcdn.com/74/42/97/item/1000022974274_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000022974274&siteNo=6004&salestrNo=6005&tlidSrchWd=%ED%96%89%EA%B1%B0&srchPgNo=1&src_area=ssglist,(LIVOON) 전신거울 브로든 행거,1000022974274,11,5.0,"38,950",행거,성공,15,1
35,35,35,30402,//item.ssgcdn.com/57/19/45/item/1000052451957_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000052451957&siteNo=6004&salestrNo=6005,예다움 원목 사다리 행거 우드 코트랙 사다리옷걸이,1000052451957,6,4.8,"32,256",행거,성공,15,1
36,36,36,401,//item.ssgcdn.com/01/29/80/item/1000017802901_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000017802901&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%B1%85%EC%83%81&srchPgNo=1&src_area=ssglist,[데스커]DSAD114D 컴퓨터 데스크(1400x700),1000017802901,74,4.7,"159,000",책상,성공,15,1
37,37,37,401,//item.ssgcdn.com/96/85/22/item/1000048228596_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000048228596&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%B1%85%EC%83%81&srchPgNo=1&src_area=ssglist,[시크릿특가]프렌즈 소호 1200 ㄷ자 책상,1000048228596,14,4.6,"63,529",책상,성공,15,1
38,38,38,401,//item.ssgcdn.com/22/78/91/item/1000036917822_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000036917822&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%B1%85%EC%83%81&srchPgNo=2&src_area=ssglist,누마 감마 컴퓨터책상 CD1200,1000036917822,16,4.7,"76,234",책상,성공,15,1
39,39,39,401,//item.ssgcdn.com/79/22/80/item/1000017802279_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000017802279&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%B1%85%EC%83%81&srchPgNo=2&src_area=ssglist,[데스커]DSAD112D 컴퓨터 데스크(1200x700),1000017802279,73,4.8,"133,000",책상,성공,15,1
40,40,40,40201,//item.ssgcdn.com/27/65/30/item/0000003306527_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=0000003306527&siteNo=6004&salestrNo=6005,[T50 시리즈 NEW TN503F 화이트쉘 메쉬의자(TNB503F),3306527,336,4.8,"184,900",책상의자,성공,15,1
41,41,41,40201,//item.ssgcdn.com/22/57/53/item/0000009535722_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=0000009535722&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%B1%85%EC%83%81&srchPgNo=1&src_area=ssglist,시디즈 ible(아이블) 블랙쉘 메쉬의자(TNA501FE),9535722,638,4.8,"159,900",책상의자,성공,15,1
42,42,42,40201,//item.ssgcdn.com/84/35/24/item/1000023243584_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000023243584&siteNo=6004&salestrNo=6005,동서가구 다니엘 1인 리클라이너 침대의자,1000023243584,211,4.4,"105,065",책상의자,성공,15,1
